file,Hidden_Dim,Dropout,LR,R2_Mean,Best_R2,MAPE_Mean,Best_MAPE
grid_search_results_LSTM.csv,64,0.2,0.005,0.6458133697509766,0.8282836675643921,0.0976701557636261,0.1319988667964935
grid_search_results_GCN.csv,32,0.0,0.005,0.2995533585548401,0.4746356606483459,0.1484376072883605,0.2470342069864273
grid_search_results_GAT.csv,32,0.0,0.001,0.3344092011451721,0.6408877968788147,0.1419231906533241,0.1993815600872039
grid_search_results_SAGE.csv,16,0.0,0.01,0.6415033340454102,0.7121719121932983,0.1053109019994735,0.1578879654407501
grid_search_results_STGNN.csv,128,0.0,0.005,0.4391308069229126,0.7306423187255859,0.1214380741119384,0.1674533784389495
grid_search_results_LSTM_flexible.csv,32,0.2,0.005,0.5467481255531311,0.7594749927520752,0.1113482594490051,0.1447326838970184
grid_search_results_STGNN_flexible.csv,32,0.0,0.005,0.3969802856445312,0.8212271332740784,0.119161619246006,0.1487386673688888
grid_search_results_STGNN_GCN_flexible.csv,128,0.3,0.005,0.3779924750328064,0.8111236691474915,0.1198478788137435,0.137496218085289
grid_search_results_STGNN_SAGE_flexible.csv,64,0.2,0.005,0.3932526469230651,0.811211884021759,0.1219511851668357,0.137590005993843
