ID,final
1,"8,65375"
2,"8,40125"
3,"8,95375"
4,"8,093125"
5,"6,723125"
6,"8,378125"
7,"9,26125"
8,"4,5625"
9,"9,49125"
10,"8,4225"
11,"7,7975"
12,"9,4275"
13,"8,15375"
14,"4,815"
15,"8,99875"
16,"7,4475"
17,"7,83875"
18,"7,975"
19,"6,17"
20,"7,275"
21,"7,67"
22,"7,045"
23,"8,34"
24,"9,19375"
25,9
26,"8,7025"
27,"8,725"
28,"8,55625"
29,"8,7725"
30,"8,465"
31,"7,3575"
32,"7,825"
33,"9,3925"
34,"9,4475"
35,"9,295"
36,"7,86125"
37,"9,4125"
38,"9,34375"
39,"8,79625"
40,"7,515"
41,"2,25"
42,"9,6325"
43,"7,07875"
44,"9,29125"
45,"8,1225"
46,"5,7225"
47,"8,135"
48,"9,69375"
49,"8,98875"
50,"3,9"
51,"9,15375"
52,"8,535"
53,"8,8275"
54,"9,4075"
55,"9,465"
56,"8,25625"
57,"8,19375"
58,"9,32"
59,"6,6175"
60,6
61,"5,6925"
62,"3,7675"
63,6
64,"8,77375"
65,"6,39125"
66,"6,97375"
67,"4,465"
68,"6,96"
69,"5,64375"
70,"5,9425"
71,"8,9275"
72,"9,4775"
73,"7,06"
